id,mes_referencia,ano_referencia,data_vencimento,valor,status,data_pagamento,contrato_id,data_repasse,status_repasse,asaas_boleto_url,asaas_codigo_barras,asaas_payment_id,asaas_pix_copia_cola,asaas_pix_url,inquilino_id,descricao,lembrete_0_enviado,lembrete_10_enviado,lembrete_3_enviado
78,1,2025,2025-01-01,2176.38,pendente,,7,,pendente,,,,,,,"Aluguel (Dezembro/2024) - R$ 1.679,32, Condomínio  (Dezembro/2024) - R$ 497,06",0,0,0
79,1,2025,2025-01-05,1100,pendente,,10,,pendente,,,,,,,"Aluguel (Dezembro/2024) - R$ 1.100,00",0,0,0
80,1,2025,2025-01-09,1710.03,pendente,,2,,pendente,,,,,,,"Aluguel (Dezembro/2024) - R$ 1.710,03",0,0,0
81,1,2025,2025-01-10,2360,pendente,,1,,pendente,,,,,,,"Aluguel (Dezembro/2024) - R$ 2.360,00",0,0,0
82,1,2025,2025-01-10,4200,pendente,,4,,pendente,,,,,,,"Aluguel (Dezembro/2024) - R$ 4.200,00",0,0,0
83,1,2025,2025-01-10,2000,pendente,,16,,pendente,,,,,,,"Aluguel (Dezembro/2024) - R$ 2.200,00, Desconto (proprietário) - R$ 200,00",0,0,0
84,1,2025,2025-01-10,900,pendente,,14,,pendente,,,,,,,"Aluguel (Dezembro/2024) - R$ 900,00",0,0,0
85,1,2025,2025-01-10,3603.12,pendente,,12,,pendente,,,,,,,"Aluguel (Dezembro/2024) - R$ 3.603,12",0,0,0
86,1,2025,2025-01-15,4520,pendente,,8,,pendente,,,,,,,"Aluguel (Dezembro/2024) - R$ 4.520,00",0,0,0
87,1,2025,2025-01-15,2500,pendente,,17,,pendente,,,,,,,"Aluguel (Dezembro/2024) - R$ 2.500,00",0,0,0
88,1,2025,2025-01-05,1750,pendente,,9,,pendente,,,,,,,"Aluguel (Dezembro/2024) - R$ 1.750,00",0,0,0
89,1,2025,2025-01-07,1360.84,pendente,,11,,pendente,,,,,,,"Aluguel (Dezembro/2024) - R$ 1.467,54, Condomínio  (Dezembro/2024) - R$ 634,13, Condomínio (proprietário) - R$ 740,83",0,0,0
90,1,2025,2025-01-10,1465,pendente,,15,,pendente,,,,,,,"Aluguel (Dezembro/2024) - R$ 1.465,00",0,0,0
91,5,2025,2025-05-01,1300,pendente,,6,,pendente,,,,,,,"Aluguel (Abril/2025) - R$ 1.250,00, IPTU (1/7) - R$ 50,00",0,0,0
92,5,2025,2025-05-01,2176.38,pendente,,7,,pendente,,,,,,,"Aluguel (Abril/2025) - R$ 1.679,32, Condomínio  (Abril/2025) - R$ 497,06",0,0,0
93,5,2025,2025-05-05,1100,pendente,,10,,pendente,,,,,,,"Aluguel (Abril/2025) - R$ 1.100,00",0,0,0
94,5,2025,2025-05-05,1750,pendente,,9,,pendente,,,,,,,"Aluguel (Abril/2025) - R$ 1.750,00",0,0,0
95,5,2025,2025-05-07,1628.05,pendente,,11,,pendente,,,,,,,"Aluguel (Abril/2025) - R$ 1.467,54, IPTU (4/10) - R$ 267,21, Condomínio  (Abril/2025) - R$ 634,13, Condomínio (proprietário) - R$ 740,83",0,0,0
96,5,2025,2025-05-09,2175.82,pendente,,2,,pendente,,,,,,,"Aluguel (Abril/2025) - R$ 1.856,86, IPTU (4/10) - R$ 318,96",0,0,0
97,5,2025,2025-05-10,4253.74,pendente,,3,,pendente,,,,,,,"Aluguel (Abril/2025) - R$ 3.200,00, Condomínio  (Abril/2025) - R$ 1.568,49, IPTU (1/7) - R$ 346,83, Ajuste (imobiliaria) - R$ 861,58",0,0,0
98,5,2025,2025-05-10,1150,pendente,,13,,pendente,,,,,,,"Aluguel (Abril/2025) - R$ 1.100,00, IPTU (4/10) - R$ 50,00",0,0,0
99,5,2025,2025-05-10,3003.04,pendente,,1,,pendente,,,,,,,"Aluguel (Abril/2025) - R$ 2.360,00, IPTU (4/10) - R$ 643,04",0,0,0
100,5,2025,2025-05-10,4548.5,pendente,,4,,pendente,,,,,,,"Aluguel (Abril/2025) - R$ 4.200,00, IPTU (3/10) - R$ 348,50",0,0,0
101,5,2025,2025-05-10,2000,pendente,,16,,pendente,,,,,,,"Aluguel (Abril/2025) - R$ 2.200,00, Desconto (proprietário) - R$ 200,00",0,0,0
102,5,2025,2025-05-10,900,pendente,,14,,pendente,,,,,,,"Aluguel (Abril/2025) - R$ 900,00",0,0,0
103,5,2025,2025-05-10,3603.12,pendente,,12,,pendente,,,,,,,"Aluguel (Abril/2025) - R$ 3.603,12",0,0,0
104,5,2025,2025-05-10,1465,pendente,,15,,pendente,,,,,,,"Aluguel (Abril/2025) - R$ 1.465,00",0,0,0
105,5,2025,2025-05-15,5216.89,pendente,,8,,pendente,,,,,,,"Aluguel (Abril/2025) - R$ 4.520,00, IPTU (4/10) - R$ 696,89",0,0,0
106,5,2025,2025-05-15,2500,pendente,,17,,pendente,,,,,,,"Aluguel (Abril/2025) - R$ 2.500,00",0,0,0
